observable,target_geometry,route_formula,route_paper,status
Clifford_qualia_states,dpm,"RECOVERED: 8192 = 2^13 = 2^(D_crit/2) SO(26) Clifford-bundle qualia states EXACT || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1666;PAPER_1666;PAPER_1229;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_BH_shadow_r_M,qcalcgeom,"BH shadow radius r/M = 3*sqrt(3) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_BH_shadow_r_M,d26,"BH shadow radius r/M = 3*sqrt(3) || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_GPB_frame_drag,qcalcgeom,"Lense-Thirring arcsec/yr || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_GPB_frame_drag,d26,"Lense-Thirring arcsec/yr || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_GPB_geodetic,qcalcgeom,"GPB geodetic arcsec/yr || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_GPB_geodetic,d26,"GPB geodetic arcsec/yr || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_Hulse_Taylor_ratio,qcalcgeom,"PSR B1913+16 obs/GR orbital decay || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_Hulse_Taylor_ratio,d26,"PSR B1913+16 obs/GR orbital decay || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_Kerr_ISCO_extremal,qcalcgeom,"Kerr extremal ISCO r/M = F_TRZ*SO_5 = 1 EXACT || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_Kerr_ISCO_extremal,d26,"Kerr extremal ISCO r/M = F_TRZ*SO_5 = 1 EXACT || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_Mercury_perihelion,qcalcgeom,"Mercury arcsec/century || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_Mercury_perihelion,d26,"Mercury arcsec/century || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_NANOGrav_h_c,d26,"NANOGrav characteristic strain (norm 2.4) || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_Shapiro_delay_coeff,qcalcgeom,"2(1+gamma) = D_PHYS = 4 EXACT || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_light_bending_solar_limb,qcalcgeom,"light bending arcsec at solar limb || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_light_bending_solar_limb,d26,"light bending arcsec at solar limb || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_photon_sphere_r_M,qcalcgeom,"r_ph/M = D_PHYS - F_TRZ*SO_5 = 4 - 1 = 3 EXACT || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
GR_photon_sphere_r_M,d26,"r_ph/M = D_PHYS - F_TRZ*SO_5 = 4 - 1 = 3 EXACT || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1149;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
ITER_R_over_a,qcalcgeom,"R/a = D_BSFG/2 + F_TRZ = 3 + 0.1 = 3.1 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1706;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
ITER_R_over_a,d26,"R/a = D_BSFG/2 + F_TRZ = 3 + 0.1 = 3.1 || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1706;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
KK_AU_per_1e10_m,qcalcgeom,"RECOVERED: AU/1e10 m = K_MEX^4 - beta_i - beta_i^3 - 3 = 14.945 (0.10%) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;_session684_KK_AU_per_1e10_m.py;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
KK_AU_per_1e10_m,bsfg,RECOVERED: AU/1e10 m = K_MEX^4 - beta_i - beta_i^3 - 3 = 14.945 (0.10%) || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form; also |SO(D-1)| at D=6 per PAPER_1160]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522,PAPER_1167;_session684_KK_AU_per_1e10_m.py;PAPER_1962;R320;PAPER_1160;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
KK_AU_per_1e10_m,d26,"RECOVERED: AU/1e10 m = K_MEX^4 - beta_i - beta_i^3 - 3 = 14.945 (0.10%) || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;_session684_KK_AU_per_1e10_m.py;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
KK_Earth_orbit_v_per_km_s,qcalcgeom,"+K^5 - F*K^5 - beta - 5 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
KK_Moon_orbital_period_per_day,qcalcgeom,"+K^5 - F*K^5 - 3 - 5 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
KK_Sun_mass_per_1e29_kg,qcalcgeom,"+K^4 - 2 + 3 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
KK_Sun_radius_per_1e8_m,qcalcgeom,"-F^2*beta^2 - F^2*beta^3 + 2 + 5 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
LCDM_BAO_rd_H0_over_c_alternate,qcalcgeom,"r_d*H0/c = 1 / (SO_5 * K_MEX * S_26) [alternate, 3-primitive amplification form] || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
LCDM_BAO_rd_H0_over_c_primary,qcalcgeom,"r_d*H0/c = (SO_5 * SSq * beta_i) / (D_phys * D_crit) [primary, 5-primitive triadic co-sum form] || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
LCDM_D_over_H,qcalcgeom,"D/H = F_TRZ^5 * (K_MEX + Phi_res*F_TRZ*D_BSFG) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
LCDM_EDGES_T21_amplitude,qcalcgeom,"T_21 = -D_phys * A_5 * beta_i * 2 [mK]  (integer-primitive EDGES amplitude per PAPER_1761) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1761;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
LCDM_EDGES_extra_cooling,qcalcgeom,"EDGES = 1 + F_TRZ^(-1/4)*(1-F_TRZ) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522,XGEO_ROUTED_IDENTITY
